id,text,text_el,topic,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner
11, Born and bred here we are all together.  Already the 5 minutes out of the 10 I have given myself have passed.    Two words about the situation we are in.  Just.  This morning. , Γέννημα θρέμμα εδώ είμαστε όλοι μαζί  Ήδη πέρασαν τα 5 λεπτά από τα 10 που έχω δώσει στον εαυτό μου    Δυο κουβέντες για τη συγκυρία στην οποία βρισκόμαστε  Μόλις  Σήμερα το πρωί,reference to other parties,other,location/community,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,[]
12," I was with fellow travelers in Arkalochori.  I don't need to tell you now what the word ""arkalochori"" means in Heraklion.  But it does matter.  If only for a moment to realize what is happening in Arkalochori, which is important because it is the tip of the iceberg of the misfortunes that have hit this country after the signing of the memoranda, especially the third and fourth. "," Ήμουνα με συνοδοιπόρους στο Αρκαλοχώρι  Δεν χρειάζεται να σας πω τώρα τι σημαίνει αρκαλοχώρι στο Ηράκλειο Είμαστε Ξέρετε ναι  Έχει όμως σημασία  Έστω και για μια στιγμή να συνειδητοποιήσουμε τι συμβαίνει στο Αρκαλοχώρι, το οποίο έχει σημασία γιατί αποτελεί την κορυφή του παγόβουνου των δυστυχιών που έχουν πλήξει αυτή τη χώρα μετά την υπογραφή των μνημονίων, ιδίως του τρίτου και του τέταρτου",economy,memoranda,arkalochori,-0.5,0.25,0.0,0.1,0.1,0.3,0.0,0.0,"[['arkalochori', 'location', '1.0'], ['heraklion', 'location', '1.0']]"
13," Consider.  A fund.  Irish-owned fund.  Based in Delaware.  How do you know why there's a seat in Delaware.  Because if you have a corporation incorporated in Delaware, no one, not even the President of the United States, has the right to know who you are who incorporated it. "," Σκεφτείτε  Ένα ταμείο  Ιρλανδικής ιδιοκτησίας fund  Με έδρα στο Ντέλαγουερ  Πού ξέρετε γιατί υπάρχει έδρα στο Ντέλαγουερ  Γιατί αν έχεις ίδρυση εταιρείας στο Ντέλαγουερ, Κανένας δεν είναι ούτε ο Πρόεδρος των Ηνωμένων Πολιτειών δεν έχει το δικαίωμα να ξέρει Ποιος είσαι εσύ που το ίδρυσεσ",,transparency,delaware corporations,0.0,0.2,0.0,0.1,0.3,0.2,0.0,0.0,"[['delaware', 'location', '1.0'], ['irish', 'organization', '1.0'], ['united states', 'location', '1.0.']]"
14," Complete opacity with a bank account in Cayman Islands for money to go there with zero tax.  This fund comes to Arkalochori and makes seizure and auction of houses of earthquake victims.  That is.  If I told you 10 years ago that something like this would happen, you would have thought I was crazy.  This cannot be done. "," Πλήρης αδιαφάνεια με λογαριασμό τραπεζικό σ Κέιμαν Άϊλαντς για να πηγαίνουν χρήματα εκεί με μηδεν φορολόγηση  Έρχεται αυτό το ταμείο στο Αρκαλοχώρι και κάνει κατάσχεση και πλειστηριασμό σπιτιών σεισμοπλήκτων  Δηλαδή  Αν πριν από 10 χρόνια σας έλεγα θα γινόταν κάτι τέτοιο, θα με περνάγατε για τρελό  Δεν μπορεί να γίνει κάτι τέτοιο",economy,,tax evasion,-0.9,1.0,0.1,0.8,0.6,1.0,0.0,0.3,"[['cayman islands', 'location', '0.90'], ['arkalochori', 'location', '0.70']]"
15," It's science fiction.  What do the Irish, based in Delaware and with an account in Cayman Island, want the Irish to get houses demolished.  They're even knocked down, they want to take the showers.  The rubble that the mayor has no money to move.  I want them to get these too because you know why they want it.  Because the money is a lot.  Bean by bean fills the bag or the Irish in Cayman Island Why. "," Είναι η επιστημονική φαντασία  Τι θέλουν οι Ιρλανδοί με έδρα στο Ντέλαγουερ και λογαριασμό στα Κέιμαν Άϊλαντ να παίρνουν σπίτια γκρεμισμένα  Είναι και γκρεμισμένα, θέλουν να πάρουν τα ντουβάρια  Τα μπάζα που ο δήμαρχος δεν έχει χρήματα να μετακινήσει  Θέλω να τα πάρουν και αυτά γιατί ξέρετε γιατί το θέλουν  Γιατί τα λεφτά είναι πολλά  Φασούλι φασούλι γεμίζει το σακούλι ή των Ιρλανδών στα Κέιμαν Άϊλαντ Γιατί",reference to other parties,other,irish demolitions,-0.7,0.9,0.0,0.8,0.9,0.9,0.0,0.9,"[['irish', 'location', '0.75'], ['delaware', 'location', '1.0'], ['cayman island', 'location', '1.0'], ['irish', 'misc', '0.75'], ['irish', 'misc', '0.75'], ['mayor', 'person', '0.5']]"
16," Someone had taken out a loan.  In Arkalochori 20 thousand these with overcoats became 100.  Today this shop does not make more than 10.  Even if you rebuild it again Go 15 it doesn't matter.  Do you know how much you paid to buy this loan.  500 €.  What is your soul what soul have 500 € Came the cashier gave 500 €, took the shop If you sell it 5 grand.  He's put in 500 and he's made 5 grand. "," Κάποιος είχε πάρει ένα δάνειο  Στο Αρκαλοχώρι 20 χιλιάρικα αυτά με πανωτόκια γίνανε 100  Σήμερα αυτό το μαγαζί δεν κάνει πάνω από 10  Ακόμα και να το ξαναχτίσεις Άντε 15 δεν έχει σημασία  Ξέρετε πόσα έδωσες για να αγοράσει αυτό το δάνειο  500 €  Τι σου είναι τι ψυχή έχουν 500 € Ήρθε το ταμείο έδωσε 500 €, πήρε το μαγαζί Εάν το πουλήσει 5 χιλιάρικα  Έχει βάλει 500 και έχει βγάλει 5 χιλιάρικα",,loans,loan,0.0,0.1,0.0,0.1,0.2,0.2,0.0,0.0,"[['arkalochori', 'location', '1.0'], ['500 €', 'currency', '1.0']]"
17, It's a lot of money.  There are no such percentages win global capitalism from Arkalochori.  We take them out.  But you can understand why I say that this is important because Arkalochori is really the tip of the iceberg. , Είναι πολλά τα λεφτά  Δεν υπαρχουν τετοια ποσοστα κερδίσει τον παγκόσμιο καπιταλισμό από το Αρκαλοχώρι  Τα βγάζουμε  Καταλαβαίνετε όμως γιατί λέω ότι έχει σημασία αυτό γιατί το αρκαλοχώρι είναι πραγματικά η κορυφή του παγόβουνου,economy,other,capitalism,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,"[['arkalochori', 'location', '0.8']]"
18, Why this happens to one and a half million Greeks.  Throughout the country.  90 billion.  90 billion.  Do you know what billions means.  To think that in this poor country.  All and all our state spends five and a half billion on health for the whole NHS a year five and a half.  90 are these red loans. , Γιατί αυτό συμβαίνει σε ενάμιση εκατομμύριο Έλληνες  Σε όλη τη χώρα  90 δισεκατομμύρια  90 δισεκατομμύρια  Ξέρετε τι σημαίνει δισεκατομμύρια  Για σκεφτείτε ότι σε αυτή τη χώρα την άμοιρη  Όλα και όλα το κράτος μας ξοδεύει πεντέμισι δισεκατομμύρια για την υγεία για όλο το ΕΣΥ το χρόνο πεντέμισι  90 είναι αυτά τα κόκκινα δάνεια,economy,public debt,greek debt,-0.8,0.6,0.0,0.2,0.4,0.5,0.0,0.0,"[['greeks', 'location', '0.71'], ['nhs', 'organization', '0.71']]"
19," And they can take all 30 of them and put them in Cayman Islands and think of a country that gives five and a half billion for health care and another five and a half, six for education.  It will give them.  20 30 billion to make on the Cayman Islands and not only that, not only do we let them.  To do this looting. "," Και τα 30 να πάρουν από αυτά και να τα βγάλουν στα Κέιμαν Άϊλαντς για σκεφτείτε μια χώρα που δίνει πεντέμισι δισεκατομμύρια για την υγεία και άλλα πεντέμισι, 6 για την παιδεία  Θα τους δώσει  20 30 δις να βγάλουν στα κέιμαν άϊλαντ ς και όχι μόνο αυτό, όχι μόνο τους αφήνουμε  Να κάνουν αυτή τη λεηλασία",health,primary health care,tax evasion,-0.4,0.6,0.1,0.2,0.7,0.8,0.2,0.1,"[['cayman islands', 'location', '1.0']]"
20, You know it.  That the government.  With the support of SYRIZA I have to say this. , Το ξέρετε  Ότι η κυβέρνηση  Με την υποστήριξη του ΣΥΡΙΖΑ πρέπει να το πω αυτό,,,government,-0.2,0.4,0.0,0.3,0.2,0.5,0.0,0.1,"[['syriza', 'org', '1.0'], ['government', 'org', '0.8']]"
21, It has passed a state law that guarantees them 23 billion in profits.  Do you know what this means.  Let me tell you.  If they don't make a percentage of profit that they have agreed with the Troika.  Then you. , Έχει περάσει νόμο του κράτους που τους εξασφαλίζει 23 δισεκατομμύρια κέρδη  Ξέρετε τι σημαίνει αυτό  Να σας πω  Εάν δεν βγάλουν ένα ποσοστό κέρδους που έχουν συμφωνήσει με την τρόικα  Τότε εσείς,economy,memoranda,corporation profits,-0.5,0.95,0.2,0.4,0.7,0.5,0.0,0.0,"[['troika', 'organization', '0.89'], ['23 billion', 'quantity', '0.83']]"
22, You will have to borrow as citizens of this country.  Basically to saddle your children and grandchildren with new debt.  23 billion to a state that gives five and a half for health care to borrow 23 billion to ensure the minimum profits of the funds of the funds. , Θα πρέπει να δανειστείτε ως πολίτες αυτής της χώρας  Βασικά να φορτώσετε με νέο χρέος τα παιδιά και τα εγγόνια σας  23 δισεκατομμύρια σε ένα κράτος που δίνει πεντέμισι για την υγεία να δανειστείτε 23 δισεκατομμύρια για να εξασφαλίσετε τα ελάχιστα κέρδη των ταμείων των funds,economy,public debt,national debt,-0.8,0.9,0.2,0.85,0.5,0.8,0.0,0.1,"[['citizens', 'misc', '0.75'], ['country', 'misc', '0.75'], ['children', 'misc', '0.75'], ['grandchildren', 'misc', '0.75'], ['state', 'misc', '0.75'], ['health care', 'misc', '0.75'], ['funds', 'misc', '0.75']]"
23," Really the mind cannot contain this.  And yet it is the law of the land.  And the only party in the House that says no to that is we will legislate the abolition of this public guarantee and that will be done at the same time as a public company will be created to manage the red debts, to have a serious management of these problems without evictions, without auctions, without auctions, without annuities that end up in the Cayman Islands.  PPC bills. "," Πραγματικά ο νους δεν μπορεί να το χωρέσει αυτό  Κι όμως είναι ο νόμος του κράτους  Και το μόνο κόμμα στην Βουλή που λέμε όχι αυτό θα νομοθετήσουμε την κατάργηση της δημόσιας εγγύησης αυτής και έτσι θα γίνει ταυτόχρονα θα δημιουργηθεί μια δημόσια εταιρεία διαχείρισης των κόκκινων χρεών, να υπάρξει μια σοβαρή διαχείριση αυτών των προβλημάτων χωρίς εξώσεις, χωρίς πλειστηριασμούς, χωρίς προσοδοφορία  που να καταλήγει στα Κέιμαν Άϊλαντς  Λογαριασμοί ΔΕΗ",economy,public debt,public guarantee,0.5,0.1,0.0,0.2,0.1,0.4,0.0,0.0,"[['cayman islands', 'location', '100%'], ['house', 'organization', '100%'], ['ppc', 'organization', '100%']]"
24,"   Think about what a wind turbine means, never mind that there are not supposed to be wind turbines on land.  Wind turbines in a maritime country like ours should be floating like they are in Denmark.  There is not a single wind turbine on land in Denmark.  And yet.  Denmark produces 75% of its electricity from wind turbines at sea, how nice it would be if they were floating out there somewhere away from the fishing villages, away from the villages, out of sight and generating electricity for the people.  That would be bad, but no, they go and set up a wind turbine 150.  Measures.  Third hand third hand third hand not even second German who do not want the Germans come send her here. ","   Για σκεφτείτε τι σημαίνει μια ανεμογεννήτρια, άσχετο ότι δεν είναι έπρεπε να υπάρχει ανεμογεννήτριες στη στεριά  Οι ανεμόγεννήτριες σε μια χώρα θαλάσσια όπως η δική μας, θα έπρεπε να είναι πλωτές όπως είναι στη Δανία  Δεν υπάρχει ούτε μια ανεμογεννήτρια στη στεριά της Δανίας  Και όμως  Η Δανία παράγει το 75% της ηλεκτρικής ενέργειας από ανεμογεννήτριες στη θάλασσα τι ωραία που θα ταν να έπλεαν εκεί ανοιχτά κάπου μακριά από τα ψαροτόπια μακριά από τα χωριά να μην φαίνονται κιόλας και να παράγουν ηλεκτρική ενέργεια για το λαό  Κακό θα ήταν αυτό, όχι πάνε όμως και στήνουν μια ανεμογεννήτρια 150  Μέτρα  Τρίτο χέρι τρίτο χέρι ούτε καν δεύτερο γερμανική που δεν θέλουν οι Γερμανοί έρχονται τη στείλουν εδώ",environment,green transition,wind turbines,-0.2,0.3,0.0,0.2,0.3,0.1,0.0,0.0,"[['wind turbine', 'object', '4', 'land', 'object', '1', 'maritime country', 'object', '1', 'denmark', 'location', '3', 'electricity', 'object', '1', 'sea', 'object', '1', 'fishing villages', 'object', '1', 'villages', 'object', '1', 'german', 'nationality', '1].']]"
25, So they destroy the whole mountain to set them up.  And then what do you get out of it? Nothing.  Why.  The wind blows.  So. , Έτσι καταστρέφουν ολόκληρο το βουνό για να τις στήσουν  Και μετά εσύ τι κερδίζεις από κάτω Τίποτα  Γιατί  Ο αέρας φυσάει  Έτσι,reference to other parties,other,mountain destruction,-0.6,0.0,0.0,0.2,0.2,0.5,0.0,0.0,"[['none', 'o', '0.0']]"
26," The wind turbine spins, produces kilowatt-hours for free.  Marginal cost zero air costs nothing it's good to have a minimum cost.  The maintenance of the wind turbine. "," Η ανεμογεννήτρια γυρνάει, παράγει κιλοβατώρες δωρεάν  Οριακό κόστος μηδέν ο αέρας δεν κοστίζει τίποτα αυτό το καλό με το να έχει ένα κόστος ελάχιστο  Η συντήρηση της ανεμογεννήτριας",energy,energy crisis,wind energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
27," How much is this.  Nothing is.  Marginal cost zero you pay it as if this electricity has been produced from the most of the most expensive imported natural gas liquefied even to cross the Atlantic from Texas, especially after the war in Ukraine. "," Πόσο είναι αυτό  Τίποτα δεν είναι  Οριακό κόστος μηδέν εσείς το πληρώνετε σαν να έχει παραχθεί αυτό το ηλεκτρικό ρεύμα από την πιο από το πιο ακριβό εισαγόμενο φυσικό αέριο υγροποιημένο μάλιστα για να περάσει τον Ατλαντικό από το Τέξας, ιδίως μετά τον πόλεμο στην Ουκρανία",energy,energy crisis,electricity pricing,0.0,0.0,0.0,0.2,0.1,0.5,0.0,0.0,"[['texas', 'location', '0.75'], ['ukraine', 'location', '0.5']]"
28," And that will sound like a science fiction scenario in the minds of the common man like me and you. not fantasy.  Dystopias.  These are.  The current situation for this there are.    Some people are telling us about the rift, you guys.  Because we can't go on like this. ", Και αυτό θα ακούγεται στο μυαλό του κοινού ανθρώπου σαν κι εμένα και εσάς σενάριο επιστημονικής φαντασίας όχι φαντασίας  Δυστοπίες  Αυτά είναι  Η σημερινή κατάσταση για αυτό υπάρχουν    Μας λένε κάποιοι για τη ρήξη βρε παιδιά  Γιατί δεν μπορούμε να συνεχίσουμε έτσι,reference to other parties,other,dystopias,-0.5,0.3,0.0,0.1,0.2,0.6,0.1,0.0,"[['science fiction', 'type', 'probability'], ['dystopias', 'type', 'probability'], ['rift', 'type', 'probability']]"
29," Is it possible to have 24% VAT in Greece, when Germany has 19% and Bulgaria has 12%, which is a single market with us?  Single market.  Is it possible to have small and medium-sized traders paying this year not only the tax they are due, but also the tax that the independent public revenue authority estimates they will have to pay next year? "," Είναι δυνατόν να έχουμε 24% ΦΠΑ στην Ελλάδα, όταν στην Γερμανία έχουν 19 και στην Βουλγαρία έχουν 12 που είναι ενιαία αγορά με μας  Ενιαία αγορά  Είναι δυνατόν να έχουμε μικρομεσαίους εμπόρους να πληρώνουν φέτος όχι μόνο τον φόρο που τους αναλογεί, αλλά και το φόρο που υπολογίζει η ανεξάρτητη αρχή δημοσίων εσόδων ότι θα πρέπει να πληρώσουν του χρόνου",economy,taxation,taxation,-0.4,0.3,0.2,0.3,0.1,0.4,0.2,0.0,"[['greece', 'gpe', '0.96'], ['germany', 'gpe', '0.96'], ['bulgaria', 'gpe', '0.96'], ['single market', 'org', '1.00'], ['this year', 'date', '0.89'], ['next year', 'date', '0.89'], ['independent public revenue authority', 'org', '0.98']]"
30, In which country is this happening.  That's what you do to a country if you want to bring it to its knees.  This is the objective of the Troika. , Σε ποια χώρα γίνεται αυτό  Αυτό το κάνεις σε μια χώρα αν θέλεις να την γονατίσεις  Αυτός είναι ο στόχος της τρόικας,,memoranda,troika,-0.7,0.7,0.5,0.55,0.2,0.7,0.3,0.0,"[['troika', 'org', '0.7'], ['country', 'misc', '0.9']]"
31,"   And SYRIZA, by saying yes to all this in the name of the Left, hit the Left in Greece, in Europe and worldwide, in a way that even Margaret Thatcher had not succeeded.  Because everywhere I go I was in Cuba, where on day 25 I was twinned with the Communist Party, Cuba, in January I was in Mexico talking to the President of Mexico, Comrade Manuel.  Wherever I go in Europe, in France.  With our comrades there of Insurgent France.  With the Die Linke.  In Germany, you know what they tell me. ","   Και ο ΣΥΡΙΖΑ λέγοντας ναι σε όλα αυτά στο όνομα της Αριστεράς έπληξε την αριστερά στην Ελλάδα, στην Ευρώπη και παγκοσμίως, με έναν τρόπο που ούτε η Μάργκαρετ Θάτσερ δεν είχε πετύχει  Γιατί όπου πηγαίνω ήμουνα στην Κούβα, όπου το μέρα 25 αδελφοποιήθηκε με το Κομμουνιστικό Κόμμα, Κούβας, το Γενάρη ήμουνα στο Μεξικό μιλούσα με τον Πρόεδρο του Μεξικού, το σύντροφο αντρές μανουέλ  Όπου πηγαίνω στην Ευρώπη, στη Γαλλία  Με τους συντρόφους μας εκεί της Ανυπότακτης Γαλλίας  Με το με τους Die Linke  Στη Γερμανία, ξέρετε τι μου λένε",reference to other parties,other,syriza,-0.5,0.9,0.4,0.15,0.5,0.0,0.0,0.0,"[['syriza', 'organization', '1.0'], ['left', 'ideology', '1.0'], ['greece', 'location', '1.0'], ['europe', 'location', '1.0'], ['margaret thatcher', 'person', '1.0'], ['cuba', 'location', '1.0'], ['communist party', 'organization', '1.0'], ['mexico', 'location', '1.0'], ['president of mexico', 'title', '1.0'], ['comrade manuel', 'person', '1.0'], ['insurgent france', 'organization', '1.0'], ['die linke', 'organization', '1.0'], ['germany', 'location', '1.0']]"
32," We have not recovered.  From that day of July 15, when you capitulate.  Today.  And that's the end of my ten minutes. I hope it's not. "," Δεν έχουμε συνέλθει  Από εκείνη τη μέρα του Ιουλίου του 15, όταν εσείς συνθηκολογήσετε  Σήμερα  Κι εδώ τελειώνει το δεκάλεπτο μου ελπίζω να μην το",reference to other parties,other,capitulation,-0.5,0.25,0.0,0.2,0.0,0.2,0.0,0.0,"[['july 15', 'date', '0.75']]"
33," I violated.  The reason why.  I feel good.  It's because I'm seeing people again.  That starts to form on his face a smile that I haven't seen since.  We have a sacred obligation to smile again, not to smile, but to smile again. "," Παραβίασα  Ο λόγος για τον οποίο  Νιώθω καλά  Είναι επειδή βλέπω κόσμο ξανά  Που αρχίζει στο πρόσωπό του να σχηματίζεται ένα χαμόγελο που έχω να δω από τότε  Έχουμε ιερή υποχρέωση να ξανα χαμογελάσουμε, όχι χαζοχαρούμενα, αλλά να ξανα χαμογελάσουμε",reference to other parties,other,redemption,0.6,0.0,0.0,0.1,0.1,0.8,0.0,0.0,[]
