id,text,text_el,topic,topic-other-context,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
11," The Mr. Mr.  A few days before the accident he was saying that it was only a matter of time before we had such a tragic event.  We as a parliamentary group had warned them with our interventions in Parliament, highlighting this course that all the governments to date, even before the memoranda, have sealed with their decisions, applying the guidelines of the European Union, which were of course none other than the liberalization of markets, the liberalization of the.  Of the railways. "," Το κ κ  Ε  λίγες ημέρες πριν το δυστύχημα σταθερή έλεγε πως ήταν θέμα χρόνου να έχουμε ένα τέτοιο τραγικό γεγονός  Τους είχαμε προειδοποιήσει και εμείς ως κοινοβουλευτική ομάδα με τις παρεμβάσεις μας μέσα στη Βουλή, αναδεικνύοντας αυτή την πορεία που που σφράγισαν με τις αποφάσεις τους όλες οι μέχρι σήμερα κυβερνήσεις, πριν ακόμα και από τα μνημόνια, εφαρμόζοντας τις κατευθύνσεις της Ευρωπαϊκής Ένωσης και που ήταν βεβαίως δεν ήταν άλλες από την απελευθέρωση των αγορών, την απελευθέρωση  Των σιδηροδρόμων",privatization,privatization,railway,railway accidents,-0.45,0.2,0.2,0.0,0.1,0.2,0.0,0.0,"[['mr.', 'person', '0.8'], ['parliament', 'organization', '0.5'], ['european union', 'organization', '0.6']]","[['mr.', 'person', '1.0'], ['parliament', 'organization', '0.5'], ['european union', 'organization', '0.5'], ['railways', 'organization', '0.5']]"
12," So it's easy to blame it on human error by blaming either state government responsibility or big business responsibility to mimic this system of.  The rotten system of exploitation.  But it goes too far with human error and individual responsibility, which undoubtedly exist, but cannot explain all the problems.  And they can't specifically explain such crimes.  You heard the same of course about the tragedy with the little child in a school here in Serres, as well as this crime.  So they became each other. "," Είναι εύκολο λοιπόν να τα ρίξεις σε ένα ανθρώπινο λάθος βγάζοντας λάδι είτε την κρατική κυβερνητική ευθύνη είτε την ευθύνη των μεγάλων επιχειρηματιών για να μιμηθεί αυτό το σύστημα της  Το σάπιο σύστημα της εκμετάλλευσης  Αλλά πάει πολύ με τα ανθρώπινα λάθη και τις ατομικές ευθύνες που αναμφίβολα υπάρχουν, αλλά δεν μπορούν όμως να εξηγήσουν όλα τα προβλήματα  Και δεν μπορούν να εξηγήσουν ειδικά τέτοια εγκλήματα  Το ίδιο βέβαια ακούσατε και για την τραγωδία με το μικρό παιδί σε σχολείο εδώ στις Σέρρες, όπως και για αυτό το έγκλημα  Έτσι έγινε ο ένας στον άλλον",other,corruption,other,blame,-0.5,0.2,0.1,0.2,0.2,0.3,0.0,0.0,"[['serres', 'location', '1.0']]","[['serres', 'location', '1.0']]"
13," The ball of responsibility.  And yet in Greece 2 0 to recall the name of the development plan of the New Democracy in Greece of the digital transition of green growth, where in a few.   I know with one click, the state can grab the house of the poor people with its electronic auctions.  These auctions voted by SYRIZA and continued by New Democracy, you see, in Greece there is a state, there are laws, there is class justice to make strikes illegal for security measures. On the railways, chasing trade unionists fighting for workers' rights, even arresting high school students for claiming to live a better life than the one they have prepared for them.  The same is true for other social strata, for farmers for example.  And here in Serres, because they dared to claim to stay on their land in their fields, but when it comes to the hundreds of workers who lose their lives, they put all the blame, at most, on some engine driver or some other worker who may have real responsibilities.  But in order for the big employers and the state as a whole.  Friends, compañeras and comrades.  So it's not the bad time, the bad time, the country, but those who ruled and are ruling this country, but us.  And in fact they ruled by implementing to the letter the policy, the directives of the European Union, which they are now trying to leave out of the frame, lying that this is not happening in Europe, in the European Union.  They are made and produced. "," Το μπαλάκι των ευθυνών  Και όμως στην Ελλάδα 2 0 για να θυμηθούμε την ονομασία του αναπτυξιακού σχεδίου της Νέας Δημοκρατίας στην Ελλάδα της ψηφιακής μετάβασης της πράσινης ανάπτυξης, όπου σε μερικά   Ξέρω λεπτά με ένα κλικ, το κράτος μπορεί να αρπάζει το σπίτι του φτωχού κόσμου με τους ηλεκτρονικούς της πλειστηριασμούς  Αυτούς τους πλειστηριασμούς που ψήφισε ο ΣΥΡΙΖΑ και συνέχισε, η Νέα Δημοκρατία, βλέπετε, στην Ελλάδα αυτή υπάρχει κράτος, υπάρχουν νόμοι, υπάρχει ταξική δικαιοσύνη για να βγάζει παράνομες τις απεργίες για μέτρα ασφαλείας Στο σιδηρόδρομο να κυνηγάει τους συνδικαλιστές που παλεύουν για τα δικαιώματα των εργαζομένων να συλλαμβάνει μέχρι και μαθητές γυμνασίων επειδή διεκδικούν να ζήσουν μια καλύτερη ζωή από αυτή που τους έχουν ετοιμάσει όλοι αυτοί  Το ίδιο βέβαια ισχύει και για άλλα κοινωνικά στρώματα, για τους αγρότες για παράδειγμα  Και εδώ στις Σέρρες, γιατί τόλμησαν να διεκδικήσουν να μείνουν στη γη τους στα χωράφια τους, αλλά όταν πρόκειται για τους εκατοντάδες εργάτες που χάνουν τις ζωές τους, ρίχνουν όλο το φταίξιμο, το πολύ πολύ σε κανένα μηχανοδηγό σε κάποιον άλλο εργαζόμενου που μπορεί να έχει υπαρκτές ευθύνες  Αλλά για να βγει όμως δηλαδή συνολικά η μεγάλη εργοδοσία και το κράτος  Φίλες και φίλοι συντρόφισσες και σύντροφοι  Δεν φταίει λοιπόν η κακιά η ώρα, η κακιά, η χώρα, αλλά όσοι κυβέρνησαν και κυβερνούν αυτή τη χώρα, αλλά εμείς  Και μάλιστα κυβέρνησαν υλοποιώντας κατά γράμμα την πολιτική, τις οδηγίες της Ευρωπαϊκής Ένωσης, την οποία τώρα προσπαθούν να αφήσουν απ έξω από το κάδρο, λέγοντας ψέματα πως θα αυτά δεν γίνονται στην Ευρώπη, στην Ευρωπαϊκή Ένωση  Γίνονται και παραγίνονται",corruption,accountability,workers' rights,class injustice in greece,-0.7,0.7,0.1,0.8,0.5,0.8,0.2,0.4,"[['greece', 'location', '1.0'], ['new democracy', 'organization', '1.0'], ['syriza', 'organization', '1.0'], ['serres', 'location', '1.0'], ['european union', 'organization', '1.0']]","[['greece', 'location', 'high', 'new democracy', 'political party', 'high', 'syriza', 'political party', 'high', 'serres', 'location', 'high', 'european union', 'organization', 'high']]"
14," We tell them, as revealed by the Commission itself, the Commission, which admits that in 2021 alone in one year there were 1389 rail accidents with a total of 636 deaths.  And 513 injured, of which 97 crashes involved collisions, are running, as of late in the European Union member states.  And all because. "," Τους λέμε, όπως αποκαλύπτει και η ίδια η Κομισιόν, η Κομισιόν, η οποία ομολογεί πως το 2021 μόνο σε ένα χρόνο καταγράφηκαν 1389 σιδηροδρομικά δυστυχήματα με συνολικά 636 νεκρούς  Και 513 τραυματίες, εκ των οποίων τα 97 δυστυχήματα αφορούσαν σε συγκρούσεις, τρέχουν, όπως αυτή στα τέλη στις χώρες κράτη μέλη της Ευρωπαϊκής Ένωσης  Και όλα αυτά γιατί",other,national security,other,rail accidents,-0.8,0.5,0.0,0.2,0.5,0.1,0.0,0.0,"[['commission', 'organization', '1.0'], ['2021', 'date', '1.0'], ['1389', 'quantity', '1.0'], ['636', 'quantity', '1.0'], ['513', 'quantity', '1.0'], ['97', 'quantity', '1.0'], ['european union', 'organization', '1.0']]","[['commission', 'organization', '0.8'], ['european union', 'organization', '0.8'], ['2021', 'date', '0.6'], ['1389', 'group of people', '0.3'], ['636', 'group of people', '0.3'], ['513', 'group of people', '0.3'], ['97', 'group of people', '0.3']]"
15," As the same special report of the European Court of Auditors on Railways states, in 2017, the delay in introducing modern electronic systems in all EU countries resulted in costly investments, without generally bringing direct benefits to those who bear the burden.  Yes, they are asked to bear the cost.  So let them stop, we say, the new democracy and SYRIZA, because they are all co-responsible.  One was completing the piece of the puzzle made by the other for the notorious liberalisation of the railways, for the implementation of the European Union's policy.  Mr E will not stop for a moment to fight for a modern, fast, safe and cheap means of transporting people and goods throughout the country.  This of course presupposes liberation from the rails of profit, presupposes transport and infrastructure in order to satisfy the expanded social needs of the people.  Through a single state agency utilizing all the modern achievements of science and technology, integrated into a centralized scientific planning of the economy with social ownership and worker control.  This needs to be done today and not to make fun of the sinful state of the cost-benefit logic of the state, of direct awards and tenders that provide hot money, of the state that acts as the collective representative of the interests of the monopolies, can this state be the guarantor of a safe modern railway?  Through a nationalization, as the re-nationalization of it, as other forces that before were, say, in favour of privatization, as is for example the Greek solution, as is Day 25 and others of this wider opportunist space, say.  We are not fighting to return to the problematic yesterday in the problem state, but to build tomorrow. Taking advantage of developments in science, of the potential of production itself, today the state is a state for the few and privatises sectors when capital needs it, or nationalises these sectors or others at the same time, when capital itself needs it.  Besides, let's not go too far. "," Όπως αναφέρει η ίδια ειδική έκθεση του Ευρωπαϊκού Ελεγκτικού Συνεδρίου για τους Σιδηροδρόμους, το 2017, η καθυστέρηση εισαγωγής των σύγχρονων ηλεκτρονικών συστημάτων σε όλες τις χώρες της Ευρωπαϊκής Ένωσης συνεπάγεται έγραφε δαπανηρές επενδύσεις, χωρίς να αποφέρει γενικά άμεσα οφέλη σε εκείνους που επωμίζονται  Ναι, καλούνται να επωμιστούν το κόστος  Ας σταματήσουν λοιπόν, τους λέμε το παιχνίδι με τις κουμπάρες και η νέα δημοκρατία και ο ΣΥΡΙΖΑ, γιατί είναι όλοι τους συνυπεύθυνοι  Ο ένας συμπλήρωνε το κομμάτι του παζλ που έγινε από τον άλλον για την περιβόητη απελευθέρωση αυτή των σιδηροδρόμων, για την υλοποίηση δηλαδή της πολιτικής της Ευρωπαϊκής Ένωσης  Το κ κ Ε  δεν θα σταματήσει ούτε λεπτό να παλεύει για έναν σιδηρόδρομο σύγχρονο, γρήγορο, ασφαλή και φθηνό μέσο μετακίνησης του λαού και μεταφοράς προϊόντων σε όλη τη χώρα  Αυτό βέβαια προϋποθέτει απελευθέρωση από τις ράγες του κέρδους, προϋποθέτει μεταφορές και υποδομές με κριτήριο την ικανοποίηση των διευρυμένων κοινωνικών λαϊκών αναγκών  Μέσα από έναν ενιαίο κρατικό φορέα με αξιοποίηση όλων των σύγχρονων επιτευγμάτων της επιστήμης της τεχνολογίας, ενταγμένες σε έναν κεντρικό επιστημονικό σχεδιασμό της οικονομίας με κοινωνική ιδιοκτησία και εργατικό έλεγχο  Αυτό χρειάζεται να γίνει σήμερα και όχι να κοροϊδεύουμε ότι το αμαρτωλό κράτος της λογικής κόστους οφέλους του κράτους, των απευθείας αναθέσεων και διαγωνισμών που τάζουν ζεστό χρήμα, λίγους το κράτος που λειτουργεί σαν εκφραστή συλλογικός των συμφερόντων των μονοπωλίων, μπορεί τάχα αυτό το κράτος να είναι και εγγυητής ενός ασφαλούς σύγχρονου σιδηροδρόμου  Μέσω μιας εθνικοποίησης, όπως τη λένε οι επανακρατικοποίηση της, όπως λένε άλλοι δυνάμεις που πριν τάσσονταν, τα λένε αυτά υπέρ της ιδιωτικοποίησης, όπως είναι για παράδειγμα η ελληνική λύση, όπως είναι το μέρα 25 και άλλοι αυτού του ευρύτερου οπορτουνιστικού χώρου  Εμείς δεν παλεύουμε για να γυρίσουμε στο προβληματικό χθες στο κράτος των προβλημάτων, αλλά για να χαράξουμε το αύριο Αξιοποιώντας τις εξελίξεις στην επιστήμη, τις δυνατότητες της ίδιας της παραγωγής, σήμερα το κράτος αυτών είναι κράτος για λίγους και ιδιωτικοποιεί τομείς όταν το έχει ανάγκη το κεφάλαιο, είτε κρατικοποιεί ταυτόχρονα αυτούς τους τομείς ή άλλους, όταν έχει ανάγκη πάλι το ίδιο το κεφάλαιο  Άλλωστε μην πάμε μακριά",other,other,railway,railways,-0.5,0.8,0.2,0.9,0.5,0.9,0.0,0.0,"[['european court of auditors', 'organization', '1.0'], ['eu', 'organization', '1.0'], ['syriza', 'organization', '1.0'], ['mr e', 'person', '1.0'], ['greek', 'nationality', '1.0'], ['day 25', 'event', '1.0']]","[['european court of auditors', 'organization', '0.75'], ['eu countries', 'location', '0.75'], ['digital democracy', 'group of people', '0.50'], ['syriza', 'political party', '0.50'], ['european union', 'organization', '0.75'], ['mr e', 'person', '0.50'], ['greek solution', 'group of people', '0.25'], ['day 25', 'group of people', '0.25']]"
16," A few months ago the New Democracy government announced, if you remember, that it would not privatize the port of Alexandroupolis after all.  But why did its allies, the Americans and NATO, tell it that they would rather have the state own the port than have it end up in the hands of possibly other companies with whom these gentlemen would have competing interests?  Unless we are told that in this case it was Mitsotakis who let the nationalization that the interests of the American imperialists were identified with the demands of the popular movement.  So let them think carefully.  those who felt grief those who felt anger those who are demonstrating today with the slogan that this crime should not be covered up.  Which political force is the guarantor, both in Parliament and in the working people's struggles within the movement, that this slogan will finally be put into practice?  Which, which political power is power, revelations. "," Πριν λίγους μήνες η κυβέρνηση της Νέας Δημοκρατίας ανακοίνωσε, αν θυμάστε ότι δεν θα ιδιωτικοποιήσει τελικά το λιμάνι της Αλεξανδρούπολης  Γιατί όμως γιατί οι σύμμαχοί της, οι Αμερικανοί το ΝΑΤΟ της είπαν ότι προτιμούν να είναι το κράτος ιδιοκτήτης του λιμανιού παρά να καταλήξει σε χέρια πιθανόν άλλων εταιρειών με τους οποίους αυτοί οι κύριοι θα είχαν ανταγωνιστικά συμφέροντα  Εκτός αν μας πούνε ότι σε αυτή την περίπτωση έγινε, καθώς Μητσοτάκης που άφησε την κρατικοποίηση ότι ταυτίστηκαν τα συμφέροντα δήθεν των αμερικανών ιμπεριαλιστών με τις διεκδικήσεις του λαϊκού κινήματος  Ας σκεφτούν λοιπόν καλά  όσοι ένιωσαν θλίψη όσοι ένιωσαν οργή όσοι σήμερα διαδηλώνουν με το σύνθημα το έγκλημα αυτό να μην συγκαλυφθεί  Ποια πολιτική δύναμη είναι ο εγγυητής και μέσα στη Βουλή, αλλά και μέσα στους εργατικούς λαϊκούς αγώνες μέσα στο κίνημα ότι αυτό το σύνθημα θα γίνει τελικά πράξη  Ποιο, ποια πολιτική δύναμη είναι δύναμη, αποκαλύψεις",privatization,privatization,nationalization,port nationalization,0.0,0.6,0.5,0.3,0.7,0.6,0.0,0.0,"[['new democracy', 'organization', '1.0'], ['alexandroupolis', 'location', '1.0'], ['americans', 'group', '0.9'], ['nato', 'organization', '0.9'], ['mitsotakis', 'person', '0.5']]","[['new democracy', 'organization', '1'], ['alexandroupolis', 'location', '1'], ['americans', 'group of people', '1'], ['nato', 'organization', '1'], ['mitsotakis', 'person', '1'], ['parliament', 'organization', '1']]"
17," Only Mr. Mr.  Hey, because Mr. Mr.  Ε. ", Μόνο το κ κ  Ε γιατί το κ κ  Ε,other,other,other,unclear/unknown (the text does not provide a clear topic or context),0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,"[['mr. hey', 'person', '1.0']]","[['mr. hey', 'person', '1.0']]"
18,"  does not serve the God of capitalist profit, because big business does not and will not put it in their hands.  Why Mr. Mr.  He does not drink water in the name of the destructive policy for our country, the European Union, Some of course they are in a cold sweat. ","  δεν υπηρετεί το Θεό του καπιταλιστικού κέρδους, γιατί οι μεγαλο επιχειρηματίες δεν το βάζουν ούτε πρόκειται να το βάλουν στο χέρι  Γιατί το κ κ  Ε δεν πίνει νερό στο όνομα της καταστροφικής πολιτικής για τη χώρα μας, της Ευρωπαϊκής Ένωσης, Ορισμένους βέβαια τους κόβει κρύος ιδρώτας",europe,europe,other,anti-capitalism,-0.6,0.85,0.0,0.7,0.9,0.75,0.0,0.1,"[['god', 'org', '0.65'], ['capitalist', 'misc', '0.7'], ['big business', 'org', '0.85'], ['mr.', 'person', '1.0'], ['european union', 'org', '0.8']]","[['european union', 'organization', '1.0'], ['country', 'location', '1.0']]"
19," Thousands of demonstrators led by young people overflowing the streets in the squares, adopting radical slogans, demanding the necessary and the obvious.  That's why their needle is only stuck in one sorry.  Along with apologies, apologies and crocodile tears, they cry lest the people lose confidence in this barbaric system.  This is their pain.  Do not lose confidence in the parties that serve this system.  New Democracy and SYRIZA have brought out of the closet the boogeyman of political instability.  You've heard it. "," Χιλιάδες διαδηλωτές με μπροστάρηδες τους νέους να ξεχειλίζουν τους δρόμους στις πλατείες, να υιοθετούν ριζοσπαστικά συνθήματα, να διεκδικούν τα αναγκαία τα αυτονόητα  Γι αυτό και έχει κολλήσει η βελόνα τους μόνο σε ένα συγγνώμη  Μαζί με τις συγγνώμες, με τις συγγνώμες και τα κροκοδείλια δάκρυα κλαίνε μην τυχόν και χαθεί η εμπιστοσύνη του λαού στο βάρβαρο αυτό σύστημα  Αυτός είναι ο πόνος τους  Μη χαθεί η εμπιστοσύνη στα κόμματα που υπηρετούν αυτό το σύστημα  Νέα δημοκρατία και ΣΥΡΙΖΑ έβγαλαν από την ντουλάπα τον μπαμπούλα της πολιτικής αστάθειας  Το έχετε ακούσει",political parties,political parties,youth,protest movements,-0.6,0.85,0.5,0.5,0.8,0.8,0.6,0.1,"[['thousands', 'number', '1.0'], ['young people', 'person', '0.9'], ['squares', 'location', '0.8'], ['radical slogans', 'other', '0.7'], ['new democracy', 'organization', '0.9'], ['syriza', 'organization', '0.9']]","[['new democracy', 'organization', '0.6', 'syriza', 'political party', '0.7']]"
20," They may in such a crisis, as they call it, burn some politicians, some ministers with deviations, such as your neighbor here, Karamanlis, for example, or even prime ministers, they may send them to be fired, to be sent aside.  So they can burn the political deck.  But more easily they will try to find it for themselves, as they did in the past, when PASOK and the new democracy. "," Μπορεί σε μια τέτοια κρίση, όπως αυτοί την ονομάζουν, να κάψουν και μερικούς πολιτικούς vpn, κάποιους υπουργούς με παρεκκλίσεις, όπως παράδειγμα τον συντοπίτη σας εδώ, τον Καραμανλή ή ακόμα και πρωθυπουργούς μπορεί να στείλουν να τους απολύσουν, να τους στείλουν στην άκρη  Για να μπορούν να κάψουν την πολιτική τράπουλα  Πιο εύκολα όμως στην άκρη για πάρτη τους θα προσπαθήσουν να τη βρουν όπως τη βρήκαν και στο παρελθόν, όταν ΠΑΣΟΚ και νέα δημοκρατία",political parties,democracy,other,political crisis,-0.2,0.4,0.0,0.2,0.5,0.25,0.2,0.1,"[['karamanlis', 'person', '0.8'], ['pasok', 'organization', '0.7'], ['new democracy', 'organization', '0.7']]","[['karamanlis', 'person', '0.8'], ['pasok', 'organization', '0.7'], ['new democracy', 'organization', '0.7']]"
21," Where they were rivals they were in the same government, just as SYRIZA and ANEL did the same thing, they are all working on the same thing today, because what unites them.  There is more than what separates them.  What are their impenetrable walls. "," Εκεί που ήταν αντίπαλοι βρέθηκαν στην ίδια κυβέρνηση, όπως επίσης ΣΥΡΙΖΑ και ΑΝΕΛ έκαναν το ίδιο το ίδιο επεξεργάζονται όλοι αυτοί και σήμερα, γιατί αυτά που τους ενώνουν  Είναι περισσότερα από αυτά που τους χωρίζουν  Ποια είναι τα αδιαπέραστα τείχη τους",political parties,political parties,coalition,politics,0.0,0.1,0.2,0.2,0.2,0.2,0.0,0.0,"[['syriza', 'org', '0.6802'], ['anel', 'org', '0.7088']]","[['syriza', 'organization', '0.9'], ['anel', 'organization', '0.9']]"
22," Is it, for example, their attitude towards the international alliances of capital M.  Since everyone is blatantly in favour of him being in favour of the European Union, even though in words he plays it wrong, but never and nowhere does he say that the country should disengage from these alliances.  After all, before he founded his party he had gone to New Democracy and left.  Not because he disagreed with the Memoranda, but because he was not voted down as a Member of Parliament, so as not to be forgotten for those who remember.  Really, then he did not know about the New Democracy's love affair with NATO and the USA.  Or when Karatzaferis was in LAOS. "," Μήπως είναι, για παράδειγμα, η στάση τους απέναντι στις διεθνείς συμμαχίες του κεφαλαίου Μ  Αφού όλοι αναφανδόν είναι υπέρ του να του είναι υπέρ της Ευρωπαϊκής Ένωσης μέχρι και που στα λόγια το παίζει λάθος, αλλά ποτέ και πουθενά δεν λέει να αποδεσμευτεί η χώρα από αυτές τις συμμαχίες  Άλλωστε, πριν ιδρύσει το κόμμα του είχε πάει στη Νέα Δημοκρατία αυτός και αποχώρησε  Όχι γιατί διαφώνησε με τα μνημόνια, αλλά γιατί δεν το κατέβασαν βουλευτή για να μην ξεχνιόμαστε δηλαδή για όσους θυμόμαστε  Αλήθεια, τότε δεν ήξερε για τον έρωτα της Νέας Δημοκρατίας με το ΝΑΤΟ και τις ΗΠΑ  Ή όταν ήταν στο ΛΑΟΣ ο Καρατζαφέρης",europe,external affairs,other,attitude towards international alliances,0.0,0.1,0.0,0.25,0.8,0.2,0.0,0.0,"[['european union', 'organization', '1.0'], ['new democracy', 'political party', '0.8'], ['memoranda', 'policy', '0.7'], ['member of parliament', 'political position', '0.6'], ['nato', 'organization', '0.8'], ['usa', 'country', '0.7'], ['karatzaferis', 'person', '0.6'], ['laos', 'political party', '0.7']]","[['m', 'organization', '0.7'], ['european union', 'organization', '0.5'], ['new democracy', 'political party', '0.7'], ['member of parliament', 'group of people', '0.5'], ['nato', 'organization', '0.5'], ['usa', 'country', '0.5'], ['laos', 'political party', '0.5']]"
23," He had a different attitude, so now what is he doing to play the uncommitted and anti-seismic Antisystemic.  He's an adventurer.  Truth to go further.  His reference to the only reason was because here in Northern Greece it is presented as being influential and it is dragging people who were mainly voting for a new democracy after now, but they are working people, ordinary workers, and we are telling them to think carefully about where they should cast their vote.  Really, what are the impenetrable walls of new democracy for SYRIZA, PASOK and the rest of the.  Didn't they, for example in the war in Ukraine, agree to support the arming of the Zelensky government?  They did not applaud with the Nitrogen Nazis in Parliament. "," Είχε άλλη στάση δήθεν, οπότε τώρα τι μας τσαμπουνάει για να μας το παίξει αδέσμευτος και αντισεισμικής Αντισυστημικός  Αυτόςο Τυχοδιωκτικός  Αλήθεια για να πάμε παραπέρα  Η αναφορά του στο μόνο που ήταν γιατί εδώ στη Βόρεια Ελλάδα παρουσιάζεται ότι έχει επιρροή και παρασύρει τους ανθρώπους που ψήφιζαν κυρίως νέα δημοκρατία μετά τώρα, αλλά είναι εργαζόμενοι απλοί εργάτες και αυτοί και τους λέμε και αυτούς να σκεφτούν καλά για το πού πρέπει να ρίξουν την ψήφο τους  Αλήθεια, ποια είναι τα αδιαπέραστα τείχη για νέα δημοκρατία ΣΥΡΙΖΑ, ΠΑΣΟΚ και τους υπόλοιπους  Μήπως, για παράδειγμα στον πόλεμο στην Ουκρανία δεν συμφωνούν στη στήριξη για τον εξοπλισμό της κυβέρνησης Ζελένσκι  Δεν χειροκρότησαν μαζί τους Ναζί του αζώτου στη Βουλή",political parties,other,other,political parties,0.0,0.25,0.5,0.2,0.5,0.2,0.0,0.0,"[['northern greece', 'location', '1.0'], ['syriza', 'organization', '0.5'], ['pasok', 'organization', '0.5'], ['ukraine', 'location', '1.0'], ['zelensky', 'person', '1.0'], ['nitrogen nazis', 'group', '1.0'], ['parliament', 'organization', '0.5']]","[['northern greece', 'location', '1.0'], ['greece', 'country', '1.0'], ['syriza', 'political party', '0.7'], ['pasok', 'political party', '0.7'], ['zelensky government', 'organization', '0.4'], ['nitrogen nazis', 'group of people', '0.3']]"
24," Do they not agree to the enlargement of NATO sanctions against Russia.  Not everyone also agreed on the pollutant and energy exchange which was one of the main factors in the price spike in energy and in our country.  Not everyone agrees with the notorious green transition that deprives us of a cheap domestic fuel such as lignite for which they do not agree on the Recovery Fund.  His priorities and fiscal commitments bring and will wrap our people with new measures, long term, in a noose.  And if they are now supposedly arguing about the auctions in the essence of the thing.  Again, we're all in agreement, because one after the other. "," Μήπως δεν συμφωνούν στη διεύρυνση του ΝΑΤΟ στις κυρώσεις ενάντια στη Ρωσία  Δεν συμφώνησαν επίσης όλοι στο χρηματιστήριο ρύπων και ενέργειας που ήταν από τους βασικούς παράγοντες εκτίναξης των τιμών στην ενέργεια και στη χώρα μας  Δεν συμφωνούν όλοι και ωμοφαγικής στην περιβόητη πράσινη μετάβαση που μας στερεί ένα φθηνό εγχώριο καύσιμο, όπως είναι ο λιγνίτης για αλλα δεν συμφωνουν στο Ταμείο Ανάκαμψης  Τις προτεραιότητές του αλλά και τις δημοσιονομικές δεσμεύσεις φέρνει και θα τυλίξει με νέα μέτρα θηλιά, μακροχρόνια τον λαό μας  Κι αν τώρα δήθεν τσακώνονται για τους πλειστηριασμούς στην ουσία του πράγματος  Πάλι όλοι σύμφωνοι, γιατί όλοι ο ένας μετά τον άλλον",energy,external affairs,other,disagreements,-0.3,0.2,0.0,0.2,0.6,0.1,0.0,0.0,"[['nato', 'organization', '0.7'], ['russia', 'location', '0.6'], ['pollutant', 'misc', '0.6'], ['energy exchange', 'misc', '0.5'], ['price spike', 'misc', '0.5'], ['country', 'location', '0.6'], ['green transition', 'policy', '0.6'], ['lignite', 'material', '0.5'], ['recovery fund', 'policy', '0.5']]","[['nato', 'organization', '1.0'], ['russia', 'country', '1.0'], ['energy exchange', 'organization', '0.8'], ['our country', 'location', '1.0'], ['green transition', 'organization', '0.8'], ['recovery fund', 'organization', '0.8'], ['his priorities', 'person', '0.9'], ['new measures', 'organization', '0.6'], ['auctions', 'organization', '0.7']]"
25," The new democracy of PASOK, SYRIZA brought laws that gradually liberated them, culminating in. Last the last law of the New Democracy and that's how we got to these mass auctions.  In fact, the idiom for the mobilizations and for the electronic auctions have already been written by the Greek people.  On the resume of Syriza when they were in government, because they legislated them.  As for the existing differences between the new democracy and SYRIZA.  They are such that not only, I must tell you, do not in the least disturb big capital, its power itself, but on the contrary they are very well exploited by the system to keep the people in a permanent hostage, usually of false dilemmas and blackmail to keep them.  Our people trapped in this one-way street of barbarism.  Besides, the propaganda of both clear, both from the last tragic events, but also for the overall got of the last few years the new Republic it was presented as the government of great reforms, which allegedly successfully promoted the cuts to move the country forward, which allegedly took measures to avoid reliving tragedies.  Like Mati, Mandra, because what is the result of these supposedly deep cuts. "," Η νέα Δημοκρατία του ΠΑΣΟΚ, το ΣΥΡΙΖΑ έφερναν νόμους που σταδιακά τους απελευθέρωσαν με αποκορύφωμα Τελευταία τον τελευταίο νόμο της Νέας Δημοκρατίας και έτσι φτάσαμε σε αυτούς τους μαζικούς πλειστηριασμούς  Μάλιστα, το ιδιώνυμο για τις κινητοποιήσεις και για τους ηλεκτρονικούς πλειστηριασμούς έχουν ήδη γραφτεί πλέον από τον ελληνικό λαό  Στο βιογραφικό του ΣΥΡΙΖΑ όταν ήταν κυβέρνηση, γιατί αυτός τους νομοθέτησε  Όσο για τις υπαρκτές διαφορές ανάμεσα στη νέα δημοκρατία και τον ΣΥΡΙΖΑ  Είναι τέτοιες που όχι μόνο πρέπει να σας πω, δεν ενοχλούν στο ελάχιστο το μεγάλο κεφάλαιο, την εξουσία του την ίδια, αλλά αντίθετα αξιοποιούνται πάρα πολύ καλά το σύστημα για να κρατάνε το λαό σε μια διαρκή ομηρία, συνήθως ψευτοδιλημμάτων και εκβιασμών για να παραμείνει  Ο λαός μας εγκλωβισμένος στο μονόδρομο αυτό της βαρβαρότητας  Άλλωστε η προπαγάνδα και των δυο καθαροί, τόσο από τα τελευταία τραγικά γεγονότα, αλλά και για τη συνολική πήραν των τελευταίων χρόνων η νέα Δημοκρατία αυτό προβάλλονταν ως η κυβέρνηση των μεγάλων μεταρρυθμίσεων, η οποία δήθεν προωθούσε με επιτυχία τις τομές για να πάει η χώρα μπροστά, που δήθεν πήρε μέτρα για να μην ξαναζήσουμε τραγωδίες  Όπως το Μάτι, η Μάνδρα, γιατί δε ποιο είναι το αποτέλεσμα αυτών των δήθεν βαθιών τομών",corruption,other,electronic auctions,electronic auctions,-0.6,0.85,0.2,0.8,0.8,0.5,0.5,0.2,"[['pasok', 'political party', '1.0'], ['syriza', 'political party', '1.0'], ['greek', 'nationality', '1.0'], ['new democracy', 'political party', '1.0'], ['mati', 'location', '1.0'], ['mandra', 'location', '1.0']]","[['pasok', 'organization', '0.75'], ['syriza', 'organization', '0.75'], ['greek people', 'group of people', '0.8'], ['syrisa', 'organization', '0.6'], ['new democracy', 'political party', '0.6'], ['big capital', 'organization', '0.5'], ['mati', 'location', '0.6'], ['mandra', 'location', '0.6'], ['greece', 'country', '0.6']]"
